2018-08-30 13:36:01.155709: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:897] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-08-30 13:36:01.156105: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1405] Found device 0 with properties: 
name: GeForce GTX 960 major: 5 minor: 2 memoryClockRate(GHz): 1.228
pciBusID: 0000:01:00.0
totalMemory: 1,95GiB freeMemory: 1,73GiB
2018-08-30 13:36:01.156126: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1484] Adding visible gpu devices: 0
2018-08-30 13:36:01.390848: I tensorflow/core/common_runtime/gpu/gpu_device.cc:965] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-08-30 13:36:01.390897: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971]      0 
2018-08-30 13:36:01.390908: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] 0:   N 
2018-08-30 13:36:01.391078: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1097] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 1485 MB memory) -> physical GPU (device: 0, name: GeForce GTX 960, pci bus id: 0000:01:00.0, compute capability: 5.2)
0.14.0
Uppercase local vars:
	BATCH_SIZE: 64
	CRITIC_ITERS: 5
	DIM: 64
	IM_DIM: 32
	ITERS: 10000
	LAMBDA: 10
	MODE: wgan-gp
	OUTPUT_DIM: 3072
Creating train generator with 139 samples.
sample 35 	 MSE: 5800.48 	 SSIM: -0.00 

sample 36 	 MSE: 6298.68 	 SSIM: -0.00 

sample 37 	 MSE: 6977.90 	 SSIM: -0.00 

sample 38 	 MSE: 6231.14 	 SSIM: -0.00 

sample 39 	 MSE: 6031.46 	 SSIM: -0.00 

sample 40 	 MSE: 5648.85 	 SSIM: -0.00 

sample 41 	 MSE: 6853.98 	 SSIM: -0.00 

sample 42 	 MSE: 6681.15 	 SSIM: -0.00 

sample 43 	 MSE: 6757.15 	 SSIM: -0.00 

sample 44 	 MSE: 6345.86 	 SSIM: -0.00 

sample 45 	 MSE: 6350.58 	 SSIM: -0.00 

sample 46 	 MSE: 7038.12 	 SSIM: -0.00 

sample 47 	 MSE: 7060.25 	 SSIM: -0.00 

sample 48 	 MSE: 6124.04 	 SSIM: -0.00 

sample 49 	 MSE: 6404.17 	 SSIM: -0.00 

sample 50 	 MSE: 6493.62 	 SSIM: -0.00 

sample 51 	 MSE: 5864.83 	 SSIM: -0.00 

sample 52 	 MSE: 6419.03 	 SSIM: -0.00 

sample 53 	 MSE: 6273.41 	 SSIM: -0.00 

sample 54 	 MSE: 5486.65 	 SSIM: -0.00 

sample 55 	 MSE: 5958.99 	 SSIM: -0.00 

sample 56 	 MSE: 7211.28 	 SSIM: -0.00 

sample 57 	 MSE: 5364.49 	 SSIM: -0.00 

sample 58 	 MSE: 5183.33 	 SSIM: -0.00 

sample 59 	 MSE: 6491.64 	 SSIM: -0.00 

sample 60 	 MSE: 6355.43 	 SSIM: -0.00 

sample 61 	 MSE: 6016.91 	 SSIM: -0.00 

sample 62 	 MSE: 4167.54 	 SSIM: -0.00 

sample 63 	 MSE: 6491.29 	 SSIM: -0.00 

iter 399	SSIM for sample 1	5.090004652454513e-06	dev disc cost	-18.340377807617188	SSIM for sample 2	-0.00010338614013737394	MSE for sample 3	6417.75732421875	SSIM for sample 3	-7.58213262744823e-05	time	8.579429211616516	MSE for sample 1	9647.236328125	train disc cost	-19.02278709411621	MSE for sample 2	5851.5185546875
Iteration 499 : 

sample 0 	 MSE: 9647.03 	 SSIM: 0.00 

sample 1 	 MSE: 5851.55 	 SSIM: -0.00 

sample 2 	 MSE: 6417.71 	 SSIM: -0.00 

sample 3 	 MSE: 10037.02 	 SSIM: 0.00 

sample 4 	 MSE: 6456.14 	 SSIM: -0.00 

sample 5 	 MSE: 7561.53 	 SSIM: -0.00 

sample 6 	 MSE: 7399.54 	 SSIM: -0.00 

sample 7 	 MSE: 6026.56 	 SSIM: -0.00 

sample 8 	 MSE: 7946.86 	 SSIM: -0.00 

sample 9 	 MSE: 5342.73 	 SSIM: -0.00 

sample 10 	 MSE: 6459.86 	 SSIM: -0.00 

sample 11 	 MSE: 6046.57 	 SSIM: -0.00 

sample 12 	 MSE: 6201.94 	 SSIM: -0.00 

sample 13 	 MSE: 6639.50 	 SSIM: -0.00 

sample 14 	 MSE: 6250.72 	 SSIM: -0.00 

sample 15 	 MSE: 5851.95 	 SSIM: -0.00 

sample 16 	 MSE: 6008.94 	 SSIM: -0.00 

sample 17 	 MSE: 6054.74 	 SSIM: -0.00 

sample 18 	 MSE: 6092.43 	 SSIM: -0.00 

sample 19 	 MSE: 6280.90 	 SSIM: -0.00 

sample 20 	 MSE: 5194.30 	 SSIM: -0.00 

sample 21 	 MSE: 5633.52 	 SSIM: -0.00 

sample 22 	 MSE: 6224.36 	 SSIM: -0.00 

sample 23 	 MSE: 6505.74 	 SSIM: -0.00 

sample 24 	 MSE: 6666.56 	 SSIM: -0.00 

sample 25 	 MSE: 6394.70 	 SSIM: -0.00 

sample 26 	 MSE: 6507.77 	 SSIM: -0.00 

sample 27 	 MSE: 7586.55 	 SSIM: -0.00 

sample 28 	 MSE: 6624.58 	 SSIM: -0.00 

sample 29 	 MSE: 7705.92 	 SSIM: -0.00 

sample 30 	 MSE: 4001.28 	 SSIM: -0.00 

sample 31 	 MSE: 5183.28 	 SSIM: -0.00 

sample 32 	 MSE: 6203.87 	 SSIM: -0.00 

sample 33 	 MSE: 9571.97 	 SSIM: -0.00 

sample 34 	 MSE: 7550.47 	 SSIM: -0.00 

sample 35 	 MSE: 5800.78 	 SSIM: -0.00 

sample 36 	 MSE: 6298.74 	 SSIM: -0.00 

sample 37 	 MSE: 6977.49 	 SSIM: -0.00 

sample 38 	 MSE: 6230.46 	 SSIM: -0.00 

sample 39 	 MSE: 6031.95 	 SSIM: -0.00 

sample 40 	 MSE: 5648.85 	 SSIM: -0.00 

sample 41 	 MSE: 6854.30 	 SSIM: -0.00 

sample 42 	 MSE: 6681.32 	 SSIM: -0.00 

sample 43 	 MSE: 6757.12 	 SSIM: -0.00 

sample 44 	 MSE: 6345.59 	 SSIM: -0.00 

sample 45 	 MSE: 6349.64 	 SSIM: -0.00 

sample 46 	 MSE: 7037.66 	 SSIM: -0.00 

sample 47 	 MSE: 7059.96 	 SSIM: -0.00 

sample 48 	 MSE: 6124.45 	 SSIM: -0.00 

sample 49 	 MSE: 6404.02 	 SSIM: -0.00 

sample 50 	 MSE: 6493.71 	 SSIM: -0.00 

